rank,lemma,pos,freq
560,eindelijk,ADJ,33462
561,aarde,NOUN,33284
562,grappig,ADJ,33102
563,moordenaar,NOUN,32729
564,president,NOUN,32722
565,nogal,ADV,32680
566,gevangenis,NOUN,32654
567,bekend,ADJ,32567
568,degeen,DET,32540
569,hoezo,NOUN,32290
570,stem,NOUN,32283
571,trouw,NOUN,32114
572,meen,VERB,31855
573,kaart,NOUN,31797
574,koffie,NOUN,31743
575,plezier,NOUN,31661
576,einde,NOUN,31594
577,sleutel,NOUN,31251
578,erbij,ADV,31234
579,gang,NOUN,31196
580,vroeg,ADJ,31114
581,relatie,NOUN,30992
582,geest,NOUN,30678
583,herinner,NOUN,30618
584,jezus,NOUN,30577
585,brief,NOUN,30571
586,opnieuw,ADV,30568
587,ontdekken,VERB,30515
588,zomaar,ADV,30497
589,pardon,NOUN,30422
590,controle,NOUN,30282
591,daarmee,ADV,30143
592,spel,NOUN,30090
593,dom,ADJ,30036
594,vliegen,VERB,29957
595,koning,NOUN,29682
596,speciaal,ADJ,29549
597,beloof,NOUN,29548
598,dienst,NOUN,29497
599,grond,NOUN,29492
600,waard,ADJ,29489
601,nadat,SCONJ,29411
602,gedachte,NOUN,29374
603,gebruik,NOUN,29291
604,naartoe,ADP,29240
605,hangen,VERB,29209
606,feit,NOUN,29200
607,been,NOUN,29178
608,achten,NUM,29149
609,spoor,NOUN,29068
610,he,INTJ,29064
611,bedrijf,NOUN,29045
612,fantastisch,ADJ,28887
613,straat,NOUN,28770
614,raad,NOUN,28701
615,persoonlijk,ADJ,28652
616,rood,ADJ,28571
617,lucht,NOUN,28282
618,gevaarlijk,ADJ,28271
619,draaien,VERB,28208
620,aanval,NOUN,28150
621,seks,NOUN,28136
622,toekomst,NOUN,28024
623,behalve,SCONJ,27924
624,bepalen,VERB,27820
625,stuur,NOUN,27775
626,leger,NOUN,27774
627,luisteren,VERB,27724
628,zeven,NUM,27709
629,charlie,NOUN,27520
630,hierheen,NOUN,27465
631,trots,ADJ,27431
632,spul,NOUN,27325
633,voet,NOUN,27292
634,beloven,VERB,27266
635,geheim,NOUN,27264
636,afspraak,NOUN,27243
637,michael,PROPN,27155
638,oplossen,VERB,27150
639,bal,NOUN,27147
640,ongeveer,ADV,27108
641,scha,NOUN,27101
642,paard,NOUN,27094
643,sommig,DET,27051
644,doden,VERB,26998
645,enorm,ADJ,26917
646,tenminste,ADV,26872
647,ongeluk,NOUN,26806
648,frank,NOUN,26751
649,zodra,SCONJ,26748
650,bank,NOUN,26669
651,slechts,ADV,26636
652,bekijken,VERB,26596
653,nietwaar,INTJ,26568
654,trek,NOUN,26517
655,aflopen,VERB,26507
656,val,NOUN,26492
657,band,NOUN,26377
658,soldaat,NOUN,26267
659,gesprek,NOUN,26240
660,hoef,VERB,26178
661,via,ADP,26128
662,oom,NOUN,26120
663,loop,NOUN,26088
664,partner,NOUN,26087
665,men,PRON,25862
666,seconde,NOUN,25833
667,george,PROPN,25817
668,vliegtuig,NOUN,25727
669,onzin,NOUN,25712
670,meid,NOUN,25704
671,york,PROPN,25702
672,ontsnappen,VERB,25688
673,bericht,NOUN,25670
674,idioot,NOUN,25618
675,doel,NOUN,25587
676,erover,ADV,25512
677,keuze,NOUN,25501
678,passen,VERB,25435
679,gevaar,NOUN,25434
680,wit,ADJ,25433
681,diep,ADJ,25389
682,kosten,VERB,25385
683,succes,NOUN,25376
684,jawel,ADV,25293
685,muziek,NOUN,25279
686,koud,ADJ,25218
687,gooien,VERB,25145
688,hopen,VERB,25016
689,joe,PROPN,25012
690,absoluut,ADJ,25005
691,lieg,NOUN,24886
692,ruimte,NOUN,24883
693,prijs,NOUN,24876
694,kort,ADJ,24866
695,ieder,PRON,24813
696,schuldig,ADJ,24785
697,vijand,NOUN,24773
698,volledig,ADJ,24758
699,bereiken,VERB,24710
700,rijk,ADJ,24664
701,omhoog,ADV,24612
702,totdat,SCONJ,24590
703,lachen,VERB,24471
704,vanwege,ADP,24440
705,hemel,NOUN,24434
706,groep,NOUN,24431
707,tenzij,SCONJ,24428
708,gisteravond,ADV,24391
709,naast,ADP,24354
710,vooral,ADV,24316
711,trouwens,ADV,24067
712,terugkomen,VERB,23936
713,gebouw,NOUN,23926
714,brand,NOUN,23894
715,pistool,NOUN,23829
716,overleven,VERB,23791
717,camera,NOUN,23733
718,blijkbaar,ADJ,23733
719,genieten,VERB,23731
720,verdenken,VERB,23637
721,direct,ADJ,23585
722,zolang,SCONJ,23575
723,wet,NOUN,23533
724,dier,NOUN,23532
725,mike,PROPN,23499
726,david,PROPN,23433
727,vuur,NOUN,23431
728,peter,PROPN,23387
729,onderzoeken,VERB,23310
730,tom,PROPN,23183
731,hotel,NOUN,23068
732,verliefd,ADJ,23031
733,jammer,ADJ,22986
734,let,NOUN,22920
735,beeld,NOUN,22893
736,rug,NOUN,22868
737,vertaling,NOUN,22864
738,meter,NOUN,22759
739,muur,NOUN,22677
740,drug,NOUN,22662
741,lijst,NOUN,22538
742,fbi,NOUN,22496
743,patiënt,NOUN,22279
744,schelen,VERB,22216
745,goedemorg,VERB,22194
746,leeg,ADJ,22156
747,excuseer,NOUN,22128
748,stom,NOUN,22050
749,excuus,NOUN,22047
750,zover,ADV,22024
751,kleren,NOUN,22000
752,voorstel,VERB,21813
753,huwelijk,NOUN,21792
754,tv,NOUN,21786
755,bedenken,VERB,21565
756,onderweg,ADV,21488
757,donker,ADJ,21464
758,openen,VERB,21453
759,warm,ADJ,21383
760,james,NOUN,21372
761,bewegen,VERB,21342
762,interessant,ADJ,21318
763,vertrouw,NOUN,21304
764,daarvoor,ADV,21299
765,shit,NOUN,21265
766,zak,NOUN,21196
767,overlijden,VERB,21180
768,vanuit,ADP,21145
769,drank,NOUN,21128
770,kogel,NOUN,21116
771,zuster,NOUN,21113
772,gezin,NOUN,21054
773,operatie,NOUN,21030
774,verdomen,VERB,20968
775,bus,NOUN,20931
776,klant,NOUN,20924
777,betrekken,VERB,20907
778,boot,NOUN,20881
779,verleden,NOUN,20816
780,roepen,VERB,20808
781,gebied,NOUN,20799
782,ontslaan,VERB,20732
783,situatie,NOUN,20724
784,moe,ADJ,20708
785,schoen,NOUN,20703
786,deal,VERB,20676
787,tafel,NOUN,20665
788,generaal,NOUN,20643
789,monster,NOUN,20565
790,reis,NOUN,20543
791,computer,NOUN,20461
792,bezorgen,VERB,20433
793,honger,NOUN,20396
794,adem,NOUN,20365
795,geboren,VERB,20279
796,ster,NOUN,20276
797,amerikaans,ADJ,20265
798,rechter,NOUN,20254
799,blauw,ADJ,20226
800,bier,NOUN,20222
801,bureau,NOUN,20171
802,macht,NOUN,20161
803,boom,NOUN,20153
804,spreek,VERB,20141
805,bouwen,VERB,20040
806,kolonel,NOUN,20037
807,ruzie,NOUN,20000
808,oma,NOUN,19994
809,raam,NOUN,19972
810,dronken,VERB,19923
811,lijn,NOUN,19921
812,onschuldig,ADJ,19882
813,luitenant,NOUN,19867
814,dik,ADJ,19864
815,heerlijk,ADJ,19829
816,besluiten,VERB,19801
817,gewond,ADJ,19745
818,bom,NOUN,19662
819,tuurlijk,ADJ,19655
820,feliciteren,VERB,19648
821,planeet,NOUN,19538
822,storen,VERB,19538
823,duizend,NUM,19487
824,henry,PROPN,19483
825,aankomen,VERB,19472
826,vlucht,NOUN,19448
827,moeite,NOUN,19407
828,hel,NOUN,19393
829,behandelen,VERB,19366
830,wens,NOUN,19352
831,steken,VERB,19300
832,ma,PROPN,19260
833,dansen,VERB,19257
834,teken,NOUN,19243
835,dossier,NOUN,19201
836,onmogelijk,ADJ,19187
837,helaas,ADV,19153
838,show,NOUN,19128
839,beslissing,NOUN,18991
840,rekening,NOUN,18989
841,paul,PROPN,18976
842,opnemen,VERB,18976
843,tekenen,VERB,18966
844,alex,NOUN,18957
845,bieden,VERB,18891
846,aantal,NOUN,18885
847,extra,ADJ,18844
848,zweer,NOUN,18768
849,aandoen,VERB,18668
850,harry,PROPN,18661
851,mary,PROPN,18661
852,lijk,NOUN,18620
853,blijken,VERB,18576
854,kapot,ADJ,18568
855,held,NOUN,18553
856,uiteindelijk,ADJ,18521
857,kerk,NOUN,18459
858,systeem,NOUN,18419
859,springen,VERB,18386
860,max,NOUN,18349
861,wegwez,NOUN,18295
862,lastig,ADJ,18277
863,negen,NUM,18197
864,overtuigen,VERB,18176
865,eind,NOUN,18074
866,verpest,NOUN,17888
867,zwanger,NOUN,17883
868,club,NOUN,17847
869,respect,NOUN,17819
870,steek,VERB,17808
871,waarvoor,ADV,17778
872,missie,NOUN,17760
873,cool,NOUN,17753
874,danny,ADJ,17738
875,amerika,PROPN,17722
876,zon,NOUN,17668
877,zingen,VERB,17655
878,waarop,ADV,17623
879,maat,NOUN,17621
880,raak,VERB,17612
881,rij,NOUN,17584
882,risico,NOUN,17565
883,meestal,ADV,17535
884,getuige,NOUN,17509
885,kwalijk,ADJ,17489
886,rechercheur,NOUN,17469
887,menselijk,ADJ,17426
888,kat,NOUN,17424
889,bar,NOUN,17399
890,midden,ADV,17368
891,hopelijk,ADJ,17355
892,glas,NOUN,17318
893,eer,SCONJ,17305
894,honderd,NUM,17255
895,aandacht,NOUN,17149
896,rol,NOUN,17149
897,schoon,ADJ,17115
898,komaan,VERB,17097
899,meien,VERB,17058
900,adres,NOUN,17033
901,zee,NOUN,16907
902,bos,NOUN,16894
903,plegen,VERB,16884
904,bevel,NOUN,16801
905,verschrikkelijk,ADJ,16782
906,wedstrijd,NOUN,16767
907,verslaan,VERB,16743
908,daarvan,ADV,16741
909,jimmy,PROPN,16731
910,rot,ADJ,16702
911,les,SYM,16664
912,ziel,NOUN,16654
913,slag,NOUN,16622
914,aansluiten,VERB,16618
915,zelfmoord,NOUN,16582
916,bespreken,VERB,16575
917,sarah,NOUN,16448
918,vinger,NOUN,16440
919,uitlegg,NOUN,16430
920,steen,NOUN,16397
921,winkel,NOUN,16383
922,wagen,NOUN,16371
923,angst,NOUN,16369
924,achterlaten,VERB,16319
925,bezoek,NOUN,16270
926,eindigen,VERB,16237
927,huilen,VERB,16234
928,positie,NOUN,16214
929,sheriff,NOUN,16193
930,helft,NOUN,16125
931,laag,ADJ,16123
932,lied,NOUN,16117
933,krant,NOUN,16104
934,overkomen,VERB,16099
935,keus,NOUN,16097
936,vanmorgen,ADV,16088
937,park,NOUN,16023
938,zulk,DET,16011
939,nick,NOUN,16010
940,doorgaan,VERB,15999
941,rennen,VERB,15963
942,sergeant,NOUN,15937
943,volk,NOUN,15922
944,tony,SYM,15856
945,haast,ADV,15808
946,stoel,NOUN,15768
947,lid,NOUN,15764
948,meester,NOUN,15752
949,kont,VERB,15749
950,oor,NOUN,15740
951,tante,NOUN,15660
952,medicijn,NOUN,15606
953,neus,NOUN,15594
954,ach,SYM,15582
955,verklaring,NOUN,15572
956,broek,NOUN,15572
957,speel,NOUN,15562
958,eikel,NOUN,15503
959,bijzonder,ADJ,15480
960,verschillend,ADJ,15473
961,verrassing,NOUN,15444
962,medisch,ADJ,15416
963,sla,NOUN,15404
964,schot,NOUN,15382
965,geschiedenis,NOUN,15380
966,erachter,ADV,15369
967,lulgen,VERB,15357
968,volwassen,ADJ,15340
969,trap,NOUN,15289
970,hoogte,NOUN,15286
971,geluid,NOUN,15257
972,vrede,NOUN,15234
973,tonen,VERB,15223
974,terugkeren,VERB,15204
975,meenemen,VERB,15188
976,lieggen,VERB,15176
977,heilig,ADJ,15165
978,arts,NOUN,15142
979,belachelijk,ADJ,15128
980,cliënt,NOUN,15115
981,wijn,NOUN,15098
982,mes,NOUN,15056
983,leider,NOUN,15022
984,weggaan,NOUN,14979
985,weekend,NOUN,14956
986,eh,SCONJ,14953
987,vogel,NOUN,14950
988,getuigen,VERB,14905
989,troep,NOUN,14895
990,jim,NOUN,14881
991,inspecteur,NOUN,14873
992,actie,NOUN,14803
993,waarvan,ADV,14794
994,tas,NOUN,14788
995,thee,NOUN,14778
996,ray,NOUN,14761
997,jane,NOUN,14761
998,opmeenemen,VERB,14753
999,nek,NOUN,14751
1000,aannemen,VERB,14744
